filename, Heart, Oblong, Oval, Round, square
oval-574-_jpg.rf.001c126cffb5b59021705808609523a0.jpg, 0, 0, 1, 0, 0
square-358-_jpg.rf.003652edcf4ca8e8333989e8eb67520c.jpg, 0, 0, 0, 0, 1
oblong-415-_jpg.rf.002ed8909eb571b28dc591f7a72599dd.jpg, 0, 1, 0, 0, 0
square-911-_jpg.rf.001652390384dfff254e54e2bc6bc2f0.jpg, 0, 0, 0, 0, 1
square-14-_jpg.rf.002e3fa5bfdd47f84bf193d652207dcc.jpg, 0, 0, 0, 0, 1
round-640-_jpg.rf.005eb5521f8429b7a63ba9699b4b1250.jpg, 0, 0, 0, 1, 0
heart-402-_jpg.rf.021bdfd1ae2fb844d3b700a9fa88b73a.jpg, 1, 0, 0, 0, 0
square-255-_jpg.rf.02aa7f5fb36d1e4c8d53422c65b614d0.jpg, 0, 0, 0, 0, 1
round-39-_jpg.rf.021474b5c2b4c0c8e2148d45fd2b0646.jpg, 0, 0, 0, 1, 0
oblong-971-_jpg.rf.0071b761aecb80a950c5af77976dd063.jpg, 0, 1, 0, 0, 0
heart-504-_jpg.rf.01dab28f68391e2a96cdc620a0b126b9.jpg, 1, 0, 0, 0, 0
square-882-_jpg.rf.0228de86803fbc7e0dee222d51f9f068.jpg, 0, 0, 0, 0, 1
heart-254-_jpg.rf.01ecbbf0a135ea49ca1a48fba21d75b1.jpg, 1, 0, 0, 0, 0
round-288-_jpg.rf.01e614fc28fe7b45782a0c708bac9812.jpg, 0, 0, 0, 1, 0
square-982-_jpg.rf.019db1246639d3ca5d944a78a8fa59ff.jpg, 0, 0, 0, 0, 1
oval-556-_jpg.rf.028984e3acd83f5ccbfa2c8c95c20c7d.jpg, 0, 0, 1, 0, 0
square-19-_jpg.rf.000d92bfbc75fd6e8a62803c0186ec9b.jpg, 0, 0, 0, 0, 1
oval-612-_jpg.rf.024eb84c86f1abbe7b0cfe13ac052d38.jpg, 0, 0, 1, 0, 0
heart-374-_jpg.rf.00e19c88d4c6683f8cf5a72971d57289.jpg, 1, 0, 0, 0, 0
heart-490-_jpg.rf.016ff7fc92bc4b1a0593bd3135cd03a2.jpg, 1, 0, 0, 0, 0
